stock,direction,LastSale
AFH,positive,8.45
AFHBL,negative,24.99
TEAM,positive,66.86
ATNI,negative,56.48
ATOM,positive,5.63
ATOS,negative,2.57
ATRC,positive,28.77
ATRI,positive,605.05
ATIS,negative,0.4124
ATISW,positive,0.1043
ATTU,positive,11.92
LIFE,negative,0.9118
AUBN,negative,50.84
BOLD,positive,37.7
AUDC,negative,7.92
AUPH,positive,5.72
EARS,negative,0.28
ADSK,positive,136.24
AUTL,positive,22.75
ADP,positive,137.12
AUTO,positive,4.16
AVDL,negative,6.87
ATXI,negative,4.05
AVEO,positive,2.85
AVNW,positive,15.96
CDMO,negative,4.47
CDMOP,positive,25.8273
AVID,positive,5.23
AVGR,negative,1.3768
CAR,negative,31.79
AHPA,positive,10.07
AHPAU,negative,10.25
AHPAW,positive,0.4
AVT,negative,43.93
AVRO,positive,29.07
AWRE,positive,3.975
ACLS,positive,21.05
AXGN,positive,54.15
AAXN,negative,69.02
AXON          ,negative,2.46
AXSM,positive,3.1
AXTI,positive,8.25
AYTU,negative,0.29
AZRX,positive,2.81
BCOM,positive,7.8
RILY,negative,22.6
RILYG,negative,24.84
RILYH,positive,25.3889
RILYL,negative,25.22
RILYZ,positive,24.89
BOSC,negative,2.55
BIDU,positive,267.08
BCPC,positive,97.86
BWINA,positive,24.5
BWINB,positive,24.3
BLDP,negative,2.82
BANF,negative,60.85
BANFP,positive,28.4085
BCTF,positive,15.75
BAND,negative,36.02
BOCH,positive,12.45
BMRC,positive,81.65
BMLP,negative,49.24
BKSC,negative,20.8
BOTJ,positive,15.45
OZK,negative,42.41
BFIN,positive,17.74
BWFG,negative,32.8
BANR,positive,61.08
BZUN,positive,62.12
DFVL,positive,62.64
DFVS,positive,36.7347
DLBL,negative,75.08
DLBS,negative,19.23
DTUL,positive,56.75
DTUS,positive,39.63
DTYL,negative,72.96
DTYS,positive,22.23
FLAT,positive,63
STPP,negative,29.9
TAPR,negative,25.06
BHAC,positive,10.551
BHACR,negative,0.18
BHACU,positive,10.76
BHACW,negative,0.0906
BBSI,positive,95.68
BSET,positive,26.2
BCML,positive,24.32
BCBP,positive,15.1
BECN,negative,39.76
BBGI,negative,10.55
BBBY,positive,19.29
BGNE,positive,163.19
BELFA,negative,19.76
BELFB,positive,20.8
BLPH,positive,2.79
BLCM,negative,7.97
BNCL,negative,16.3
BNFT,positive,36.2
BNTC,negative,2.82
BNTCW,positive,0.7
BYSI,negative,25.989
BGCP,positive,11.07
BGFV,positive,6.65
BRPA,positive,9.91
BRPAR,positive,0.4109
BRPAU,negative,10.6
BRPAW,negative,0.3999
BILI,positive,13.8
BASI,positive,1.75
ORPN,negative,1.5
BIOC,positive,6.99
BCRX,positive,6.2
BDSI,negative,2.85
BFRA,negative,12.8
BIIB,positive,353.03
BHTG,negative,3.4324
BKYI,positive,2.36
BIOL,negative,1.29
BLFS,positive,20.96
BLRX,positive,0.9244
BMRN,positive,102.73
BMRA,positive,4.0952
BVXV,negative,6.44
BVXVW,negative,1.35
BPTH,positive,1.61
BIOS,positive,3.01
BSTC,negative,46.71
BSPM,positive,2.35
TECH,positive,151.55
BEAT,negative,49.2
BTAI,negative,11.41
BCAC,positive,10.05
BCACR,negative,0.3618
BCACU,positive,10.47
BCACW,negative,0.37
BJRI,positive,62.35
BBOX,positive,1.74
BRAC,positive,9.7699
BRACR,positive,0.38
BRACU,negative,10.42
BRACW,negative,0.49
BLKB,positive,114.9
BL,positive,46.64
BKCC,negative,5.92
BLNK,positive,3.6
BLNKW,positive,1.2899
BLMN,negative,20.71
BCOR,negative,37.75
BLBD,positive,22.8
BHBK,negative,21.9
BLUE,positive,177.3
BKEP,negative,3.1
BKEPP,positive,6.2
BPMC,positive,66.9
ITEQ,positive,35.91
BMCH,positive,21.2
BOFI,negative,40.53
BOFIL,negative,25.706
WIFI,positive,22.5
BOJA,positive,14.925
BOKF,negative,95.99
BOKFL,positive,25
BNSO,positive,3.57
BKNG,negative,2020
BRQS,negative,4.6
BOMN,positive,20.97
BPFH,negative,16.05
BPFHW,positive,10.85
EPAY,negative,55
BOXL,positive,4.16
BCLI,positive,4.14
BVNSC,positive,99.99
BDGE,positive,36.2
BLIN          ,negative,1.5
BWB,negative,12.91
BRID,positive,13.35
BCOV,positive,9.575
BHF,negative,41.16
AVGO,positive,203.25
BVSN,positive,2.15
BYFC,negative,2.09
BWEN,negative,2.37
BPY,positive,19.14
BRKL,negative,18.5
BRKS,positive,32.15
BRKR,negative,28.41
BMTC,positive,47.15
BLMT,positive,35.6
BSQR,positive,2.65
BLDR,positive,17.95
BFST,negative,25.15
CFFI,negative,62.05
CHRW,positive,87.3
CA,positive,44.05
CCMP,negative,113.91
CDNS,positive,45.07
CDZI,positive,13.15
CZR,negative,11.65
CSTE,negative,15.45
PRSS,positive,1.3
CLBS,negative,5.6
CHY,positive,12.9
CHI,negative,11.89
CCD,positive,21.86
CHW,negative,8.97
CGO,positive,14.19
CSQ,positive,12.9
CAMP,negative,23.97
CVGW,positive,94.6
CALA,positive,4.7
CALM,negative,45.4
CLMT,negative,7.85
CRUSC,positive,99.98
CLXT,negative,17.41
ABCD,positive,11.46
CATC,negative,89.98
CAC,positive,45.66
CAMT,positive,7.48
CSIQ,positive,12.85
CGIX,positive,0.865
CPHC,negative,15.25
CPLA,negative,103.95
CCBG,positive,24.85
CPLP,positive,3.03
CSWC,negative,18.12
CSWCL,positive,25.29
CPTA,positive,8.6
CPTAG,negative,24.73
CPTAL,negative,25.0498
CFFN,positive,13.05
CAPR,negative,1.4253
CSTR,positive,19.2
CPST,negative,1.55
CARA,positive,21.16
CBLK,positive,23.88
CARB,positive,38.4
CSII,positive,34.8
CDLX,negative,21.3
CATM,negative,26.58
CDNA,positive,12.22
CECO,positive,17.98
CTRE,negative,16.93
CARG,positive,37.31
CARO,positive,42.13
CART,negative,8.3
CRZO,negative,27.63
TAST,positive,15.05
CARV,negative,3.92
CASM,positive,1.9723
CASA,negative,15.54
CWST,positive,25.69
CASY,positive,109.67
CASI,positive,7.49
CASS,positive,70.14
CATB,negative,0.82
CBIO,negative,12.21
CPRX,positive,3.23
CATS,positive,6.6623
CATY,negative,40.69
CATYW,positive,21.17
CGVIC,positive,100.1
CIVEC,negative,100.12
CVCO,negative,217.45
CBFV,positive,33.9
CBAK,negative,0.9141
CBOE,positive,103.73
CBTX,negative,33.69
CDK,positive,66.38
CDTI,positive,0.5688
CDW,positive,84.94
CECE,positive,6.52
CELC,negative,22.26
CELG,negative,85.23
CELGZ,positive,0.6406
CLDX,positive,0.51
APOP,negative,7.24
APOPW,positive,2.05
CLRB,positive,0.749
CLRBW,negative,0.25
CLRBZ,negative,0.18
CLLS,positive,29.49
CBMG,negative,20.3
CLSN,positive,2.98
CELH,negative,4.49
CYAD,positive,29.54
CETX,positive,2.16
CETXP,positive,4.2185
CETXW,positive,0.1101
CDEV,negative,17.49
CSFL,negative,29.82
CETV,positive,4.05
CFBK,positive,2.5531
CENT,negative,42.94
CENTA,positive,40.02
CVCY,positive,21.36
CENX,negative,14.35
CNBKA,negative,78.85
CNTY,positive,8.67
CRNT,negative,3.54
CERC,positive,4.26
CERCW,negative,0.12
CERN,positive,61.03
CERS,positive,7.32
KOOL,positive,0.481
CEVA,positive,32.05
CSBR,negative,5.82
CYOU,negative,15.58
BURG,positive,3.0056
CTHR,positive,1.04
GTLS,negative,66.05
CHTR,positive,304.19
CHFN,positive,24.11
CHKP,negative,108.97
CHEK,negative,3.86
CHEKW,positive,0.2
CHEKZ,negative,0.67
CKPT,positive,2.58
CEMI,negative,11.15
CHFC,positive,55.64
CCXI,positive,12.71
CHMG,positive,50.88
CHKE,positive,0.569
CHFS,negative,1.56
CHMA,negative,1.5
CSSE,positive,9.39
CSSEP,positive,25.05
PLCE,negative,115.25
CMRX,positive,4.73
CADC,positive,6.15
CALI,negative,2.37
CAAS,negative,4.0697
CBPO,positive,101.4
CCCL,negative,1.87
GLG,positive,1.1996
CCRC,negative,14.24
JRJC,positive,1.9
HGSH,positive,1.6395
CIFS,positive,15
CJJD,positive,1.3401
CLDC,negative,1.94
CHNR,negative,2.18
CREG,positive,1.57
CNTF,positive,2.4
CXDC,negative,3.2
CCIH,positive,1.43
CNET,positive,2.3084
IMOS,negative,14.51
CDXC,negative,4.19
CHSCL,positive,28.19
CHSCM,negative,27.1
CHSCN,positive,28.29
CHSCO,negative,28.72
CHSCP,positive,29.9
CHDN,positive,303.65
CHUY,positive,32.15
CDTX,positive,4.85
CMCT,negative,15.25
CMPR,negative,149.1
CINF,positive,70.54
CIDM,positive,1.46
