Title,Authors,Publisher,Year,Edition,ISBN
Machine Learning with R,Brett Lantz ,Packt,2019,3rd,978-1-788-29586-4
Data Science for Business,"Foster Provost, Tom Fawcett","O?Reilly Media, Inc",2013,1st,978-1-449-36132-7
Modern Data Science with R,"Benjamin S. Baumer, Daniel T. Kaplan, Nicholas J. Horton",CRC Press,2022,1st,978-1-498-72448-7
