Academic Year,TAP College Code,Federal School Code,TAP College Name ,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2014,1414,2693,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,7009,5663.25,22090635
2014,1402,2694,CUNY KINGSBOROUGH CC,PUBLIC,2-CUNY CC,7510,5460.75,19077641
2014,1403,10051,CUNY LAGUARDIA CC,PUBLIC,2-CUNY CC,6706,4637.54,16410789
2014,1404,2691,CUNY MANHATTAN CC,PUBLIC,2-CUNY CC,11859,8199.67,29444075
2014,1415,10097,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,3929,2429.79,9749928
2014,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,7946,5638.58,23132649
2014,1407,2697,CUNY QUEENSBOROUGH CC,PUBLIC,2-CUNY CC,5931,4184.38,14297589
2014,1416,2690,CUNY QUEENS COLLEGE,PUBLIC,1-CUNY SR,6494,5162.79,19406536
2014,1421,42101,CUNY STELLA & CHARLES GUTTMAN CC,PUBLIC,2-CUNY CC,500,435.88,1552408
2014,1418,4759,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,3595,2790.96,11011401
2014,670,2808,DAEMEN COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,944,846.83,2112500
2014,2265,21691,DAVIS COLLEGE,PRIVATE,5-INDEPENDENT,94,78,235464
2014,6315,10727,DEVRY COLLEGEE OF NEW YORK 4YR,PRIVATE,6-BUS. DEGREE,533,423.33,1488152
2014,2315,10727,DEVRY COLLEGE OF NEW YORK 2YR,PRIVATE,6-BUS. DEGREE,28,21,71902
2014,2050,2713,DOMINICAN COLLEGE BLAUVELT 4YR UG,PRIVATE,5-INDEPENDENT,565,503.29,1543328
2014,2051,2713,DOMINICAN COLLEGE-WEEKEND 4YR UG,PRIVATE,5-INDEPENDENT,5,2.33,7640
2014,11,2667,DOWLING COLLEGE  4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,535,459.08,1369740
2014,2053,2864,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2057,1595.75,2978708
2014,195,2712,D'YOUVILLE COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,701,621,1634737
2014,7260,9043,ELMIRA BUSINESS INST,PRIVATE,6-BUS. DEGREE,380,328.67,1017362
2014,215,2718,ELMIRA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,364,335.71,777037
2014,7510,22195,EMPIRE EDUC CORP (MILDRED ELLEY),PRIVATE,6-BUS. DEGREE,1133,885.92,2896370
2014,2065,10684,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,5535,4170.63,12085904
2014,7845,4811,EVEREST INSTITUTE,PRIVATE,6-BUS. DEGREE,407,258.08,874214
2014,999,2834,EXCELSIOR COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,288,198.75,730840
2014,2070,2866,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1220,1054.42,2953930
2014,975,2866,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,892,758.38,2343122
2014,2256,7532,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2282,1743.92,4191832
2014,847,21601,FINGER LAKES HEALTH COLL NURSING,PRIVATE,5-INDEPENDENT,30,18.42,54090
2014,2075,12561,FIVE TOWNS COLLEGE 4YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,332,286.42,915416
2014,245,2722,FORDHAM UNIVERSITY,PRIVATE,5-INDEPENDENT,1390,1315.63,4759681
2014,7903,33283,FRANKLIN CAREER INSTITUTE,PRIVATE,7-BUS. NON-DEG,514,444.67,1659004
2014,2240,2867,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,1123,812.5,2055546
2014,2252,6782,GENESEE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1993,1531,3621322
2014,6936,25408,GLOBE INSTITUTE OF TECHNOLOGY 4YR,PRIVATE,6-BUS. DEGREE,47,44,167069
2014,7936,25408,GLOBE INST TECH 2YR,PRIVATE,6-BUS. DEGREE,266,198.83,831067
2014,270,2728,HAMILTON COLLEGE,PRIVATE,5-INDEPENDENT,200,198,575202
2014,285,2729,HARTWICK COLLEGE,PRIVATE,5-INDEPENDENT,615,577.5,1505209
2014,288,10153,HELENE FULD SCHOOL REG NURS BA,PRIVATE,5-INDEPENDENT,13,14,23496
2014,287,10153,HELENE FULD SCHOOL REG NURSING,PRIVATE,5-INDEPENDENT,148,79.25,213142
2014,2254,4788,HERKIMER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1381,1049.38,2559531
2014,2083,2735,HILBERT COLLEGE,PRIVATE,5-INDEPENDENT,540,472.25,1291296
2014,295,2731,HOBART AND WILLIAM SMITH COLLS 4Y,PRIVATE,5-INDEPENDENT,345,333.5,949214
2014,300,2732,HOFSTRA UNIV 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1521,1384.67,4299598
2014,305,2734,HOUGHTON COLLEGE,PRIVATE,5-INDEPENDENT,422,381.75,1029840
2014,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3463,2583.79,5905299
2014,7440,12107,INST OF DESIGN & CONSTRUCTION,PRIVATE,6-BUS. DEGREE,9,5,17422
2014,325,2737,IONA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1084,1013.79,3014798
2014,1535,21579,ISABELLA GRAHAM HART SCH PRAC NUR,PRIVATE,8-OTHER,31,24.42,67351
2014,2275,7375,ISLAND DRAFTING & TECHNICAL INST.,PRIVATE,6-BUS. DEGREE,76,74.75,192486
2014,330,2739,ITHACA COLLEGE,PRIVATE,5-INDEPENDENT,1225,1167,3269823
2014,7839,7329,ITT TECHNICAL INSTITUTE ALBANY,PRIVATE,6-BUS. DEGREE,33,21,57722
2014,7833,7329,ITT TECHNICAL INSTITUTE GETZVILLE,PRIVATE,6-BUS. DEGREE,38,25.5,84083
2014,7837,107329,ITT TECHNICAL INSTITUTE LIVERPOOL,PRIVATE,6-BUS. DEGREE,86,62.5,179582
2014,7480,8495,JAMESTOWN BUSINESS COLL 2 YR ASSO,PRIVATE,6-BUS. DEGREE,251,201.17,737932
2014,6480,8495,JAMESTOWN BUSINESS COLL 4YR BBA,PRIVATE,6-BUS. DEGREE,43,34.83,104350
2014,2085,2869,JAMESTOWN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1799,1405.54,3857377
2014,2220,2870,JEFFERSON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1102,841.75,2123422
2014,340,2742,JUILLIARD SCHOOL 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,24,24,81342
2014,8228,10549,KEHILATH YAKOV RABBINCAL SEMINARY,PRIVATE,9-CHAPTER XXII,87,87,430826
2014,345,2744,KEUKA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,803,660.54,1727330
2014,375,2748,LEMOYNE COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1209,1111.63,2806478
2014,7702,20937,LIBI TEACH OUT OF PBC,PRIVATE,6-BUS. DEGREE,319,267.42,940700
2014,2178,7466,LIM COLLEGE,PRIVATE,6-BUS. DEGREE,207,178,577806
2014,7941,20937,LONG ISLAND BUS INST 2YR TRIMEST,PRIVATE,6-BUS. DEGREE,27,16,41551
2014,7738,20937,LONG ISLAND BUS INST UG SEMESTER,PRIVATE,6-BUS. DEGREE,1110,838.42,2978252
2014,403,2751,LONG ISLAND UNIV 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3613,3084.71,11154289
2014,8235,13026,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,88,83,371958
2014,7977,7401,MANDL SCHOOL,PRIVATE,6-BUS. DEGREE,665,539.46,1786033
2014,405,2758,MANHATTAN COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1026,958.38,3010529
2014,7937,31933,MANHATTAN SCHOOL OF COMPUTER TECH,PRIVATE,7-BUS. NON-DEG,251,210.58,741359
2014,410,2759,MANHATTAN SCHOOL OF MUSIC 4 YR UN,PRIVATE,5-INDEPENDENT,14,13,51990
2014,420,2760,MANHATTANVILLE COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,586,553.83,1738235
2014,6093,2763,MARIA COLLEGE 4 YR,PRIVATE,5-INDEPENDENT,21,14.5,40134
2014,2093,2763,MARIA COLL-REGULAR DAY 2YR UG,PRIVATE,5-INDEPENDENT,140,96,286452
2014,1551,21601,MARION S WHELAN PRAC NURSING SEM,PRIVATE,8-OTHER,17,12.75,45240
2014,440,2765,MARIST COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,807,733,1974073
2014,447,2769,MARYMOUNT MANHATTAN COLLEGE,PRIVATE,5-INDEPENDENT,233,209.71,722599
2014,505,2777,MEDAILLE COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1068,889.75,2775826
2014,2300,2772,MERCY COLL ASSOC DEGREE PROGRAM,PRIVATE,5-INDEPENDENT,41,27,109499
2014,2100,2772,MERCY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3129,2624.71,9390075
2014,7964,31814,MERKAZ BNOS,PRIVATE,7-BUS. NON-DEG,152,158,588094
2014,8237,9335,MESIVTA EASTRN PKWY RABBINICAL CL,PRIVATE,9-CHAPTER XXII,7,5.5,18964
2014,8244,7264,MESIVTA TORAH VODAATH RABBINICAL,PRIVATE,9-CHAPTER XXII,138,132,600492
2014,1099,9769,METROPOLITAN COLL OF NEW YORK 4YR,PRIVATE,5-INDEPENDENT,680,571.08,2114330
2014,7740,36523,METROPOLITAN LEARNING INSTITUTE,PRIVATE,7-BUS. NON-DEG,831,753.5,2664325
2014,8246,4798,MIRRER YESHIVA CENTRAL INSTITUTE,PRIVATE,9-CHAPTER XXII,57,43.5,173611
2014,2105,2871,MOHAWK VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2913,2213.83,5568323
2014,500,2775,MOLLOY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1255,1094.96,2958513
2014,7518,4799,MONROE COLLEGE ASSOCIATES DEG 2YR,PRIVATE,6-BUS. DEGREE,2253,1970.88,8218039
2014,6018,4799,MONROE COLLEGE BACHELORS DEG 4YR,PRIVATE,6-BUS. DEGREE,1862,1672.38,6490668
2014,7718,4799,MONROE COLLEGE NURSING CERT PROG,PRIVATE,6-BUS. DEGREE,12,9.5,26002
2014,2180,2872,MONROE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,6111,4508.17,10122990
2014,3030,2859,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,1272,1053.54,3505100
2014,6030,2859,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,590,494,1496888
2014,2110,2778,MOUNT ST. MARY COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,709,627.42,1775104
2014,2113,2873,NASSAU COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,5761,4350.75,11758173
2014,525,2779,NAZARETH COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,928,843.79,2134480
2014,7863,21634,NEW YORK CAREER INSTITUTE,PRIVATE,6-BUS. DEGREE,244,136.5,403910
2014,2120,2782,NEW YORK INST TECH 4YR,PRIVATE,5-INDEPENDENT,1452,1263.42,4125759
2014,1674,11617,NEW YORK METHODIST HOSPITAL,PRIVATE,8-OTHER,68,53,129488
2014,550,20690,NEW YORK SCHOOL INTERIOR DESIGN,PRIVATE,5-INDEPENDENT,25,20.38,71738
2014,555,2785,NEW YORK UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3194,3011.13,10936373
2014,2215,2874,NIAGARA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2640,2062.83,4831557
2014,560,2788,NIAGARA UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1266,1163.96,2742473
2014,2258,7111,NORTH COUNTRY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,502,393.75,1059298
2014,8250,2790,NYACK COLLEGE,PRIVATE,9-CHAPTER XXII,52,38.67,128542
2014,575,2790,NYACK COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,620,499.58,1743714
2014,2270,25994,NY COLLEGE OF HEALTH PROFESSIONS,PRIVATE,5-INDEPENDENT,236,200.33,576499
2014,6270,25994,NY COLL HEALTH PROF 4YR UG,PRIVATE,5-INDEPENDENT,42,36.79,110815
2014,541,34433,NY COLL TRAD CHINESE MEDICINE,PRIVATE,5-INDEPENDENT,31,17.17,59244
2014,8255,11984,OHR HAMEIR THEOLOGICAL SEMINARY,PRIVATE,9-CHAPTER XXII,27,25,96199
2014,2185,2875,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,4252,3131.67,8625620
2014,2125,2876,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1565,1152.96,3242933
2014,590,2791,PACE UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1140,1020.83,3601237
2014,591,2791,PACE UNIVERSITY UNDERGRADUATE,PRIVATE,5-INDEPENDENT,830,752.96,2342533
2014,605,30277,PACIFIC COLL OF ORIENTAL MED 2YR,PRIVATE,6-BUS. DEGREE,40,25.83,83739
2014,2140,2795,PAUL SMITHS COLLEGE 2 YR UNDEGRAD,PRIVATE,5-INDEPENDENT,80,62.5,181951
2014,6140,2795,PAUL SMITHS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,327,290.25,689120
2014,6445,6438,PHILLIPS BETH ISRAEL NURSING BA,PRIVATE,5-INDEPENDENT,3,2.5,5074
2014,45,6438,PHILLIPS BETH ISRAEL SCH.NURSING,PRIVATE,5-INDEPENDENT,8,5,16119
2014,7699,12358,PLAZA COLLEGE-2YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,795,647.33,2734860
2014,6698,12358,PLAZA COLLEGE-BA,PRIVATE,6-BUS. DEGREE,98,73.42,270815
2014,615,2798,PRATT INSTITUTE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,302,282.88,998399
2014,7874,23065,PROFESSIONAL BUSINESS COLLEGE,PRIVATE,5-INDEPENDENT,229,114.5,402238
2014,8266,8614,RABBINCAL COL BOBOVER YESHIV BNEI,PRIVATE,9-CHAPTER XXII,151,151,722812
2014,8261,3976,RABBINCL ACAD MESIVTA RABBI CHAIM,PRIVATE,9-CHAPTER XXII,28,28,104555
2014,8264,10943,RABBINICAL COLLEGE BETH SHRAGA,PRIVATE,9-CHAPTER XXII,11,8,18856
2014,8270,10378,RABBINICAL COLLEGE OF LONG ISLAND,PRIVATE,9-CHAPTER XXII,25,19,51701
2014,8272,31292,RABBINICAL COLLEGE OF OHR SHIMON,PRIVATE,9-CHAPTER XXII,108,98,462867
2014,635,2803,RENSSELAER POLYTECHNIC INST UG,PRIVATE,5-INDEPENDENT,637,595.21,1658476
2014,641,2805,ROBERTS WESLEYAN COL BSN NON TRAD,PRIVATE,5-INDEPENDENT,64,47.58,86421
2014,640,2805,ROBERTS WESLEYAN COLL  UG SEMESTE,PRIVATE,5-INDEPENDENT,615,547.75,1362443
2014,650,2806,ROCHESTER INST TECH 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3160,2683.92,6974988
2014,2147,2877,ROCKLAND COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1635,1227.92,3304248
2014,844,9248,SAMARITAN HOSPITAL PRAC NURSING,PRIVATE,8-OTHER,17,6.58,17590
2014,840,9248,SAMARITAN HOSP SCH OF NURSING,PRIVATE,5-INDEPENDENT,3,1.17,3025
2014,7491,11647,SANFORD BROWN INSTITUTE,PRIVATE,6-BUS. DEGREE,217,151,412229
2014,845,2813,SARAH LAWRENCE COLL UNDERGRAD,PRIVATE,5-INDEPENDENT,66,62,206896
2014,2243,6785,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,1460,1052.29,2406080
2014,7858,7468,SCHOOL OF VISUAL ARTS UNDERGRAD,PRIVATE,6-BUS. DEGREE,420,389.5,1274184
2014,8280,11076,SHOR YOSHUV RABBINICAL COLLEGE,PRIVATE,9-CHAPTER XXII,21,17,72523
2014,685,2816,SIENA COLLEGE,PRIVATE,5-INDEPENDENT,1074,1019.42,2658387
2014,855,2814,SKIDMORE COLLEGE,PRIVATE,5-INDEPENDENT,299,289.17,996206
2014,1606,5877,S NASSAU HOSP SCH OF RAD TECH,PRIVATE,8-OTHER,1,1,2771
