userId,movieId,rating,addedOn,addedBy,updatedOn,updatedBy
1,1,1,2021-02-14,Admin,NULL,NULL
1,2,1,2021-02-14,Admin,NULL,NULL
1,3,2,2021-02-14,Admin,NULL,NULL
1,4,3,2021-02-14,Admin,NULL,NULL
1,5,2,2021-02-14,Admin,NULL,NULL
1,6,4,2021-02-14,Admin,NULL,NULL
1,7,3,2021-02-14,Admin,NULL,NULL
1,8,1,2021-02-14,Admin,NULL,NULL
1,9,4,2021-02-14,Admin,NULL,NULL
2,1,1,2021-02-14,Admin,NULL,NULL
2,2,1,2021-02-14,Admin,NULL,NULL
2,3,1,2021-02-14,Admin,NULL,NULL
2,4,2,2021-02-14,Admin,NULL,NULL
2,5,3,2021-02-14,Admin,NULL,NULL
2,6,1,2021-02-14,Admin,NULL,NULL
2,7,3,2021-02-14,Admin,NULL,NULL
2,8,2,2021-02-14,Admin,NULL,NULL
2,9,3,2021-02-14,Admin,NULL,NULL
3,1,2,2021-02-14,Admin,NULL,NULL
3,2,2,2021-02-14,Admin,NULL,NULL
3,3,3,2021-02-14,Admin,NULL,NULL
3,4,3,2021-02-14,Admin,NULL,NULL
3,5,3,2021-02-14,Admin,NULL,NULL
3,6,3,2021-02-14,Admin,NULL,NULL
3,7,3,2021-02-14,Admin,NULL,NULL
3,8,3,2021-02-14,Admin,NULL,NULL
3,9,3,2021-02-14,Admin,NULL,NULL
4,1,3,2021-02-14,Admin,NULL,NULL
4,2,1,2021-02-14,Admin,NULL,NULL
4,3,1,2021-02-14,Admin,NULL,NULL
4,4,3,2021-02-14,Admin,NULL,NULL
4,5,3,2021-02-14,Admin,NULL,NULL
4,6,4,2021-02-14,Admin,NULL,NULL
4,7,3,2021-02-14,Admin,NULL,NULL
4,8,3,2021-02-14,Admin,NULL,NULL
4,9,3,2021-02-14,Admin,NULL,NULL
5,1,2,2021-02-14,Admin,NULL,NULL
5,2,1,2021-02-14,Admin,NULL,NULL
5,3,1,2021-02-14,Admin,NULL,NULL
5,4,1,2021-02-14,Admin,NULL,NULL
5,5,1,2021-02-14,Admin,NULL,NULL
5,6,3,2021-02-14,Admin,NULL,NULL
5,7,1,2021-02-14,Admin,NULL,NULL
5,8,3,2021-02-14,Admin,NULL,NULL
5,9,2,2021-02-14,Admin,NULL,NULL
6,1,2,2021-02-14,Admin,NULL,NULL
6,2,3,2021-02-14,Admin,NULL,NULL
6,3,3,2021-02-14,Admin,NULL,NULL
6,4,3,2021-02-14,Admin,NULL,NULL
6,5,1,2021-02-14,Admin,NULL,NULL
6,6,3,2021-02-14,Admin,NULL,NULL
6,7,3,2021-02-14,Admin,NULL,NULL
6,8,3,2021-02-14,Admin,NULL,NULL
6,9,3,2021-02-14,Admin,NULL,NULL
7,1,2,2021-02-14,Admin,NULL,NULL
